date,author,Picture of tree in its surroundings,objectid,label,display_template,parentid,object_location,image_thumb,image_small,format,site_name,location,latitude,longitude,Desa Adat,subject,description,Potential contacts and nara sumber,Community Protection Evidence
12/16/2025,I Gede Morgan Semone,,mock_001,Tree 1,compound_object,,/objects/mock_001.png,/objects/mock_001.png,/objects/mock_001.png,compound_object,Denpasar (Kota),"Jl. Kertanegara, Ubung Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80115, Indonesia",-8.6253,115.1974,Desa Pekraman Pohgading,Ficus benjamina (Beringin / Banyan),"Ficus benjamina, commonly known as the Beringin or Banyan, is a popular indoor and outdoor ornamental tree. Renowned for its graceful, drooping branches and lush, glossy leaves, it thrives in warm climates. It’s often used in landscaping and interior design, symbolizing prosperity and providing excellent air purification.",,
1/20/2026,I Gede Morgan Semone,,mock_002,tree 2,compound_object,,/objects/mock_002.png,/objects/mock_002.png,/objects/mock_002.png,compound_object,Denpasar (Kota),"Jl. Tunggul Ametung III, Ubung Kaja Denpasar Utara, Kota Denpasar, Bali 80115, Indonesia",-8.62535,115.19741,Desa Pekraman Pohgading,Alstonia scholaris (Pulai / Pule),"Alstonia scholaris, known as Pulai or Pule, is a tall, evergreen tree native to Southeast Asia. It features glossy, dark green leaves and clusters of fragrant white flowers. Often used in traditional medicine, it also provides valuable timber. The tree is respected for its medicinal properties and its role in local ecosystems.",,
2/2/2026,I Gede Morgan Semone,,mock_003,Tree 3,image,,,,,image/jpeg,Denpasar (Kota),"Jl. Tunggul Ametung III, Ubung Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80115, Indonesia",-8.6230264,115.2039979,Desa Pekraman Pohgading,Ceiba pentandra (Kapok tree),"Ceiba pentandra, commonly called the Kapok tree, is a majestic, towering tropical tree with a broad, spreading canopy. It produces large, fluffy seed fibers known as kapok, used as stuffing and insulation. The tree’s striking appearance and ecological importance make it a vital part of rainforest environments, symbolizing strength and resilience.",,
2/3/2026,I Gede Morgan Semone,,mock_004,Tree 4,compound_object,,/objects/mock_004.png,/objects/mock_004.png,/objects/mock_004.png,compound_object,Denpasar (Kota),"Jl. Kertanegara 11, Ubung Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80115, Indonesia",-8.623261,115.202931,Pura Dalem Batandulang,Ficus benjamina (Beringin / Banyan),"Ficus benjamina, commonly known as the Beringin or Banyan, is a popular indoor and outdoor ornamental tree. Renowned for its graceful, drooping branches and lush, glossy leaves, it thrives in warm climates. It’s often used in landscaping and interior design, symbolizing prosperity and providing excellent air purification.",,
2/4/2026,I Gede Morgan Semone,,mock_005,Tree 5,compound_object,,/objects/mock_005.png,/objects/mock_005.png,/objects/mock_005.png,compound_object,Denpasar (Kota),"Jl. Ahmad Yani Utara No.167, Dauh Puri Klod, Kec. Denpasar Utara, Kota Denpasar, Bali 80233, Indonesia",-8.6366155,115.2104332,Pura Mirampati,Ficus benjamina (Beringin / Banyan),"Ficus benjamina, commonly known as the Beringin or Banyan, is a popular indoor and outdoor ornamental tree. Renowned for its graceful, drooping branches and lush, glossy leaves, it thrives in warm climates. It’s often used in landscaping and interior design, symbolizing prosperity and providing excellent air purification.",,
,,,mock_001a,Tree 1 2013,image,mock_001,/objects/mock_001.png,/objects/mock_001.png,/objects/mock_001.png,image/jpeg,,,,,,,,,
,,,mock_002a,Tree 2 2013,image,mock_002,/objects/mock_002.png,/objects/mock_002.png,/objects/mock_002.png,image/jpeg,,,,,,,,,
,,,mock_004a,Tree 4 2013,image,mock_004,/objects/mock_004.png,/objects/mock_004.png,/objects/mock_004.png,image/jpeg,,,,,,,,,
,,,mock_005a,Tree 5 2013,image,mock_005,/objects/mock_005.png,/objects/mock_005.png,/objects/mock_005.png,image/jpeg,,,,,,,,,
,,,mock_001b,Tree 1 2025,image,mock_001,/objects/mock_001b.png,/objects/mock_001b.png,/objects/mock_001b.png,image/jpeg,,,,,,,,,
,,,mock_002b,Tree 2 2025,image,mock_002,/objects/mock_002b.png,/objects/mock_002b.png,/objects/mock_002b.png,image/jpeg,,,,,,,,,
,,,mock_004b,Tree 4 2025,image,mock_004,/objects/mock_004b.png,/objects/mock_004b.png,/objects/mock_004b.png,image/jpeg,,,,,,,,,
,,,mock_005b,Tree 5 2025,image,mock_005,/objects/mock_005b.png,/objects/mock_005b.png,/objects/mock_005b.png,image/jpeg,,,,,,,,,
